Feature,Macro_F1_mean,Macro_F1_std,Accuracy_mean,Accuracy_std
Energy_Weighted_Velocity,0.5971466758783086,0.019040068573019535,0.6355460690571579,0.015237753984853547
Velocity_Imbalance,0.5648340852764038,0.020572003797483234,0.5819935829844043,0.025086439830792805
Imbalance_Doppler_Distr,0.533253158389733,0.034883580522974106,0.5749806111101508,0.026828900399623806
Total_Signal_Over_Max,0.5019448348756741,0.040813730971956425,0.5060565670695142,0.035876805371119536
Mean_Cadence,0.36882587131655753,0.03031443592073427,0.46536000308484793,0.03169434605726626
Variance_Doppler_Distr,0.3618718955950279,0.02458282959309506,0.40939542298982934,0.03026044750903573
Active_Motion_Duration,0.35240111489249326,0.014227287577704641,0.4029719761952567,0.007467283936978101
Mean_Difference_From_Zero_Freq,0.35081767979536965,0.030992098808176004,0.4514595807354791,0.03829426254614769
Skewness_Doppler_Distr,0.3465013612570327,0.01808456622670755,0.4299645286808863,0.021895800096662504
Kurtosis_Doppler_Distr,0.3441552242709677,0.015554364036416635,0.427777593100578,0.017339712478999365
Active_Motion_Fraction,0.3249045336031786,0.025508774821058608,0.3572699317300102,0.02154696702849926
Mean_Velocity_Bandwidth,0.31976061020500796,0.035869993397752147,0.3425190398499417,0.03369041197021951
Maximum_Absolute_Velocity,0.3191333565370188,0.027894019109413352,0.4233266051735914,0.03347361904251401
Maximum_Velocity_Bandwidth,0.316031237472861,0.02673049775846438,0.34193571992417304,0.032576226717776206
Mean_Absolute_Velocity,0.3109952770630654,0.03057781227693161,0.4145148478252486,0.04003669371380983
Main_Burst_Duration,0.30065081871346966,0.01977067879009051,0.41178382218865534,0.02907402062864665
Standard_Deviation_Range,0.259817461936363,0.02842853821594145,0.3034449418909498,0.00767692280663404
High_Velocity_Fraction,0.2499665896841594,0.008727673840137519,0.35504579625199845,0.017408068699062643
Variance_Frequency_Doppler_Distr,0.23642376248646024,0.030972991908174614,0.324795232137024,0.01496234705586974
